cnpj;nm_fundo;gestor;classif_cvm;classif_anbima;aplicacao_inicial;mov_minima;saldo_perm;cotizacao;liquidacao;tx_adm;tx_performance;dt_inicio;ret_mes_jul_23;ret_2023;ret_12m;ret_24m;ret_36m;ret_cdi_mes_jul_23;ret_cdi_2023;ret_cdi_12m;ret_cdi_24m;ret_cdi_36m;vol_12m;vol_begin;sharpe_12m;sharpe_begin;pl_milhares
42887937000170;1618 Fc FIA;Dezesseis Dezoito Gestao de R. Ltda;Ações;Ações Livre; - ; - ; - ;D+030;D+032;0,50%;A taxa é paga semestralmente.;5/10/2021;3,77%;16,96%;18,47%;-;-;351,76%;221,95%;135,96%;-;-;17,39%;17,74%;0,34;-0,27;10.635,52 
30353655000104;1618 Fc de FI Mult;Dezesseis Dezoito Gestao de R. Ltda;Multimercado;Multimercados Livre; R$ 100 ; R$ 100 ; R$ 100 ;D+030;D+032;0,64%;10.0000% que exceder 100.0000  do CDI;7/8/2019;1,37%;3,53%;6,41%;21,32%;24,43%;128,26%;46,23%;47,21%;87,76%;89,40%;2,97%;5,02%;-2,12;-0,11;40.483,60 
51152458000105;3 Ilhas Fc em Acoes;3 Ilhas Investimentos Gestao de Recursos;Ações;Ações Livre; R$ 1 ; R$ 1 ; R$ 1 ;D+060;D+062;1,40%;20.0000% que exceder 100.0000 do IPCA;30/6/2023;-;-;-;-;-;-;-;-;-;-;-;14,74%;-;3,20;151.487,90 
46246532000104;3g Radar C Fc FIA 60;3g Radar Gestora de Recursos Ltda;Ações;Ações Livre; R$ 100.000 ; R$ 10.000 ; R$ 100.000 ;D+060;D+062;2,00%;20,0000% que exceder 100,0000 do Outros;12/7/2022;-1,35%;14,30%;13,21%;-;-;-125,60%;187,15%;97,26%;-;-;23,36%;23,09%;0,10;0,17;54.557,42 
18341171000140;3g Radar FIC FIA 1080;3g Radar Gestora de Recursos Ltda;Ações;Ações Livre; R$ 100.000 ; R$ 10.000 ; R$ 100.000 ;D+360;D+362;1,00%;-;1/8/2013;-1,26%;15,34%;14,70%;4,96%;19,46%;-117,87%;200,83%;108,16%;20,42%;71,21%;23,70%;22,20%;0,16;0,46;46.242,88 
36436936000107;3g Radar FIC FIA 360;3g Radar Gestora de Recursos Ltda;Ações;Ações Livre; R$ 100.000 ; R$ 10.000 ; R$ 100.000 ;D+360;D+362;1,00%;15.0000% que exceder 100.0000  do Outros, IPCA + YIELD do IMA-B 5+;30/3/2020;-1,27%;14,11%;13,50%;3,70%;17,14%;-118,17%;184,74%;99,37%;15,24%;62,70%;23,37%;23,16%;0,12;0,23;113.935,58 
18295384000182;3g Radar FIC FIA 60;3g Radar Gestora de Recursos Ltda;Ações;Ações Livre; R$ 100.000 ; R$ 10.000 ; R$ 100.000 ;D+015;D+062;2,00%;20.0000% que exceder 100.0000  do Outros;1/8/2013;-1,34%;14,71%;13,60%;2,89%;16,30%;-125,41%;192,58%;100,08%;11,89%;59,66%;23,72%;21,99%;0,12;0,39;64.864,74 
36436923000138;3g Radar FIC FIA 60 II;3g Radar Gestora de Recursos Ltda;Ações;Ações Livre; R$ 100.000 ; R$ 10.000 ; R$ 100.000 ;D+060;D+062;2,00%;20.0000% que exceder 100.0000  do Outros, IPCA + YIELD do IMA-B 5+;30/3/2020;-1,34%;14,43%;13,32%;2,54%;14,02%;-124,91%;188,93%;98,03%;10,46%;51,31%;23,47%;22,80%;0,11;0,18;127.813,94 
22232929000189;3r Genus Hedge FI Mult;3r Gestora de Recursos Ltda;Multimercado;Multimercados Livre; R$ 5.000 ; R$ 1.000 ; R$ 1.000 ;D+003;D+004;2,00%;20 % QUE EXCEDER 100 % DO CDI;6/7/2015;0,99%;4,91%;9,02%;22,60%;26,93%;92,50%;64,29%;66,36%;93,03%;98,55%;2,01%;2,10%;-2,00;0,66;96.865,23 
39377954000153;3r Radix FIA;3r Gestora de Recursos Ltda;Ações;Ações Livre; R$ 5.000 ; R$ 5.000 ; R$ 5.000 ;D+031;D+033;2,00%;20 % QUE EXCEDER 100 % DO Ibovespa Fechamento;23/12/2020;3,73%;16,30%;29,41%;21,37%;-;347,55%;213,34%;216,50%;87,97%;-;18,20%;20,37%;0,87;0,29;111.782,31 
